Num,Filename,Shot,ELM time,OK/NOT OK,Velocity,Correlation,Size,Angle,Elongation,Comment
0,NSTX_GPI_138614_0.835_0.839_ccf_velocity_pfit_o1_ct_0.6_fst_0.0_ns,138614,837.5,OK,,,,,,"Something happened to the gas puff, strange trace. Not much radial and poloidal movement, but the size of the gas cloud changes trementeously"
1,NSTX_GPI_138617_0.87_0.874_ccf_velocity_pfit_o1_ct_0.6_fst_0.0_ns,138617,,NO,,,,,,
2,NSTX_GPI_138617_0.835_0.839_ccf_velocity_pfit_o1_ct_0.6_fst_0.0_ns,138617,837.3,OK,,,,,,
3,NSTX_GPI_138617_0.838_0.842_ccf_velocity_pfit_o1_ct_0.6_fst_0.0_ns,138617,840.2,OK,,,,,,
4,NSTX_GPI_138617_0.853_0.857_ccf_velocity_pfit_o1_ct_0.6_fst_0.0_ns,138617,855.3,OK,,,,,,
5,NSTX_GPI_138617_0.859_0.863_ccf_velocity_pfit_o1_ct_0.6_fst_0.0_ns,138617,,NO,,,,,,
6,NSTX_GPI_138620_0.88_0.884_ccf_velocity_pfit_o1_ct_0.6_fst_0.0_ns,138620,,NO,,,,,,
7,NSTX_GPI_138620_0.866_0.87_ccf_velocity_pfit_o1_ct_0.6_fst_0.0_ns,138620,867.7,QUESTIONABLE,,,,,,
8,NSTX_GPI_138748_0.427_0.431_ccf_velocity_pfit_o1_ct_0.6_fst_0.0_ns,138748,429.5,OK,,,,,,
9,NSTX_GPI_138748_0.448_0.452_ccf_velocity_pfit_o1_ct_0.6_fst_0.0_ns,138748,,NO,,,,,,
10,NSTX_GPI_138748_0.496_0.5_ccf_velocity_pfit_o1_ct_0.6_fst_0.0_ns,138748,,NO,,,,,,There is some error for the gas cloud which need to be checked. Is there any problem with remaining objects between the ELMs
11,NSTX_GPI_138748_0.531_0.535_ccf_velocity_pfit_o1_ct_0.6_fst_0.0_ns,138748,,NO,,,,,,
12,NSTX_GPI_138855_0.624_0.628_ccf_velocity_pfit_o1_ct_0.6_fst_0.0_ns,138855,625.5,OK,,,,,,
13,NSTX_GPI_138855_0.644_0.648_ccf_velocity_pfit_o1_ct_0.6_fst_0.0_ns,138855,,NO,,,,,,
14,NSTX_GPI_138855_0.674_0.678_ccf_velocity_pfit_o1_ct_0.6_fst_0.0_ns,138855,676,OK,,,,,,
15,NSTX_GPI_139053_0.429_0.433_ccf_velocity_pfit_o1_ct_0.6_fst_0.0_ns,139053,,NO,,,,,,
16,NSTX_GPI_139053_0.435_0.439_ccf_velocity_pfit_o1_ct_0.6_fst_0.0_ns,139053,,NO,,,,,,
17,NSTX_GPI_139054_0.41_0.414_ccf_velocity_pfit_o1_ct_0.6_fst_0.0_ns,139054,412,OK,,,,,,
18,NSTX_GPI_139054_0.46_0.464_ccf_velocity_pfit_o1_ct_0.6_fst_0.0_ns,139054,,NO,,,,,,
19,NSTX_GPI_139054_0.424_0.428_ccf_velocity_pfit_o1_ct_0.6_fst_0.0_ns,139054,,NO,,,,,,
20,NSTX_GPI_139054_0.429_0.433_ccf_velocity_pfit_o1_ct_0.6_fst_0.0_ns,139054,,NO,,,,,,
