shot,peak GPI time (ms),gas puff,current,TF,NBI power,RF power,XP owner,I/B (MA/T),comments by Ricky,movie rating,peak GPI time (ms),isep,peak signal,ipeak,L-H time,H-L time,ELM time,tpeak,telm,isep,ipeak,peaksig,Quality,comments on ELM,# other ELMS
138614,814,D2 780/30,800,4.5,2,0,menard,1.8,"H-mode, with ELM 0.8374s",A,814,14,357.68,12,,,837.4,814,837.4,13,12,217.2,2,"sep far in, growing pre",0
138617,814,D2 780/30,800,4.5,2,0,menard,1.8,"H-mode, ELMs and H-L 0.8372s",A,814,14,348.53,10,,837.2,840.1,814,837.4,10,7,153.5,1,"far in, no pre",0
138620,814,D2 780/30,800,4.5,2,0,menard,1.8,H-mode,A,814,13,335.98,10,,,869,814,868.9,-1,10,110,1,"far in, no pre",0
138748,412,D2 380/30,800,4.5,2,0,soukhanovskii,1.8,"H-mode, event 0.4295s",A,412,8.5,248.98,4,,,429.5,412,429.5,6,4,177.7,1,"far in, no pre",0
138855,612,D2 580/30,1200,4.5,4,0,smith,2.7,"H-mode, ELM/event 0.6266s",A,612,21,429.29,19,,,626.6,612,626.6,20,19,385,0,maybe minor dis,0
139053,412,D2 380/30,1100,5.5,6,0,diallo,2,"H-mode, ELM/event 0.4309s",A+,412,22,452.12,24,,,430.9,412,430.9,-1,24,340.8,2,"maybe pre, slow elm,wakes",0
139054,412,D2 380/30,1100,5.5,6,0,diallo,2,"H-mode, ELMs (triggered by GPI?)",B,412,22,439.11,24,,,412.5,412,412.5,22,26,452.8,2,"no pre, fast elm, wakes",0
139057,512,D2 480/30,900,5.5,6,0,diallo,1.6,H-mode,A,512,24,443.77,22,,,531.2,512,531.2,24,22,331.5,2,"no pre,small elm,wakes",1
139058,512,D2 480/30,1000,5,6,0,diallo,2,H-mode,A,512,23,444.17,22,,,514.5,512,514.5,23,23,492.5,2,"no pre, fast elm,wakes",5
139291,312,D2 280/30,800,5,3,0,ahn,1.6,"H-mode, MHD",A+,312,18.5,415.87,16,,,347.2,312,347.2,22,22,238.4,2,"no pre, fast elm",0
139292,312,D2 280/30,800,5,3,0,ahn,1.6,"H-mode, MHD",A,312,19,434.25,16,,,366.5,312,366.5,19,19,168.5,2,"no pre, fast elm",2
139296,332,D2 300/30,800,5,3,0,ahn,1.6,"H-mode, ELM/event 0.3442s",A,332,20,392.94,18,,,346.7,332,346.7,-1,22,388.4,3,"wavy pre, blobs",1
139499,512,D2 480/30,900,4.8,2,0,soukhanovskii,1.9,H-mode,A,512,19,435.24,17,,,536.7,512,536.7,19,16,281.4,3,"small elm, no pre",0
139500,512,D2 480/30,900,4.8,2,0,soukhanovskii,1.9,H-mode,A,512,18.5,416.15,16,,,520.5,512,520.5,18,17,436.1,3,"wavy pre, fast elm",4
