s,peak GPI time (ms),gas puff,current,TF,NBI power,RF power,XP owner,I/B (MA/T),comments by Ricky,movie rating,0-1,0-1 based on GPI,Good for analysis,peak GPI time (ms),L-H time,H-L time,FIDA presence,Preliminary comment,ELM time 1,Precursor type,Burst type,ELM time 2,Precursor type,Burst type,ELM time 3,Precursor type,Burst type,ELM time 4,Precursor type,Burst type,ELM time 5,Precursor type,Burst type,ELM time 6,Precursor type,Burst type,Possible ELM type,Comment,,ELM. Times from \WF::\DALPHA (fs=1kHz)
138614,814,D2 780/30,800,4.5,2,0,menard,1.8,"H-mode, with ELM 0.8374s",A,1,0,,814,,,1,,837,e diam filament,"Large, blob like",-,,,-,,,,,,,,,,,,1,"Large ELM, there are weak post cursors, as well as blob wake post cursors",,Precursor types based on GPI video
138617,814,D2 780/30,800,4.5,2,0,menard,1.8,"H-mode, ELMs and H-L 0.8372s",A,0,,,814,,837.2,1,,837,e diam filaments +blobs,"Large filaments, braking up, ion diam propagation",840,"E diam filament, higher mode number","Larger filaments, no explosive burst",855,Ion diam e diam competing,Blobs and fast LCFS ion diam filaments,861,E diam filament,Blob,872,Not visible,,-,,,?,Longish elm free regime and then large ELMs. It doesn't seem like type 3,,Burst types based on GPI video
138620,814,D2 780/30,800,4.5,2,0,menard,1.8,H-mode,A,0,,,814,,,1,,868,No precursor,"Two filaments, one in ediam one in iondiam",882,?,?,-,,,-,,,-,,,-,,,?,"There is one clear ELM, but it has a low amplitude in D_alpha, then a large compund one with low GPI signal",,
138748,412,D2 380/30,800,4.5,2,0,soukhanovskii,1.8,"H-mode, event 0.4295s",A,0,,,412,,,1,,429,Saturated blobs,"Big filaments, radial outwards movement",450,"Not a standard ELM, ediam and ion diam blobs",,481,Not visible,,498,Not visible,,533,,,-,,,,,,
138855,612,D2 580/30,1200,4.5,4,0,smith,2.7,"H-mode, ELM/event 0.6266s",A,0,,,612,,,1,,626,Radially pulsing plasma + small ediam filaments,Two separate large filaments,641,This is probably an LH transition. It looks really interesting,"NO burst, just a transition",646,Ediam filaments,No burst,676,Ion diam filaments,A smaller and a larger kink of the LCFS and a radial outburst of a big filament,,,,-,,,,The edge seems to be saturated after the ELM 1 and takes long to recover. The second ELM doesn't seem like an ELM. There is rapid edge oscillation due to fast ion diam filaments. The last ELM seems to have a long decay with another ELM like feature around 679,,
139053,412,D2 380/30,1100,5.5,6,0,diallo,2,"H-mode, ELM/event 0.4309s",A+,0,1,,412,,,1,,431,"Undulating separatrix, saturated ion diamagnetic filaments","No clear radial outburst, the edge keeps undulating",437,"Undulating edge and poloidally ion diam propagating structures, but no clear ELM behavior",,,,,,,,,,,-,,,,This is a good shot to be analyzed in more detail,,
139054,412,D2 380/30,1100,5.5,6,0,diallo,2,"H-mode, ELMs (triggered by GPI?)",B,0,,,412,,,1,,412,"ion diam filaments with ediam wakes,","Large ediam filament,  which suddenly brakes up to two, then three filaments, then to a finger like structure at 412.110848ms",426,Nothing,No burst,431,,,439,"Slow burst, not necessarily an ELM",,446,,"No event, just large flares",462,Ediam filaments + large LCFS perturbation,No violent burst,3,"Really interesting precursor, form into blobs later on, they form flares ion diam --> e diam --> ion diam, larges flares around 150mm poloidally which then kink back  from e diam to ion diam. Small flares at the postcursor",,
139057,512,D2 480/30,900,5.5,6,0,diallo,1.6,H-mode,A,0,,,512,,,1,,556,Ion diam filament and LCFS bulge,,,,,,,,,,,,,,,,,1,"3D effects are already visible, toroidal filamentary structure. Hard to distinguish from normal filaments.???",,
139058,512,D2 480/30,1000,5,6,0,diallo,2,H-mode,A,0,,,512,,,1,,533,No event,,558,Ion diam filament = large edge perturbation (ballooning type?),"Double medium sized quick radial outburst, interesting.",576,No burst,,600,No burst,,,,,,,,3,Not really a good candidate,,
139291,312,D2 280/30,800,5,3,0,ahn,1.6,"H-mode, MHD",A+,1,0,,312,,,1,"Large event on slow Dalpha, small blip on fast",347,Ion diam filaments with a large plasma wiggle,Large double filament,,,,,,,,,,,,,,,,,"One big burst at 344, not really a good shot to analyze",,
